曲名,歌手名,ユーザー,スコア,日付
Crazy Crazy,星野 源,まつりく,89.109,2024/09/13 15:44:27
地獄でなぜ悪い,星野 源,まつりく,92.986,2024/09/13 15:52:26
魔法の絨毯,川崎鷹也,まつりく,92.719,2024/09/13 16:00:47
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,89.564,2024/09/13 16:08:36
炎と森のカーニバル,SEKAI NO OWARI(世界の終わり),まつりく,91.446,2024/09/13 16:18:38
RPG,SEKAI NO OWARI(世界の終わり),まつりく,92.560,2024/09/13 16:28:51
眠り姫,SEKAI NO OWARI(世界の終わり),まつりく,89.476,2024/09/13 16:38:39
別の人の彼女になったよ,wacci,まつりく,93.693,2024/09/13 16:47:09
水平線,back number,まつりく,92.058,2024/09/13 16:55:49
わたがし,back number,まつりく,85.896,2024/09/13 17:04:50
手紙,back number,まつりく,91.020,2024/09/13 17:11:18
アイラブユー,back number,まつりく,91.493,2024/09/13 17:21:44
まちがいさがし,菅田将暉,まつりく,87.251,2024/09/13 17:30:40
桜,コブクロ,まつりく,94.239,2024/09/13 17:50:07
くだらないの中に,星野 源,まつりく,89.815,2024/09/13 18:00:50
セプテンバーさん,RADWIMPS,まつりく,89.497,2024/09/13 18:09:34
天体観測(生音),BUMP OF CHICKEN,まつりく,89.540,2024/09/13 18:19:51
小さな恋のうた,MONGOL800,まつりく,91.184,2024/09/13 18:27:53
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,89.982,2024/09/13 18:35:46
ビリミリオン,優里,まつりく,89.682,2024/09/13 18:45:53
新しい恋人達に,back number,まつりく,86.575,2024/09/23 14:18:30
Crazy Crazy,星野 源,まつりく,90.426,2024/09/23 14:26:42
地獄でなぜ悪い,星野 源,まつりく,88.010,2024/09/23 14:43:11
恋だろ,wacci,まつりく,88.269,2024/09/23 14:50:47
Bunny Girl,AKASAKI,まつりく,88.719,2024/11/07 15:03:55
黄色,back number,まつりく,87.972,2024/11/07 15:12:43
歌うたいのバラッド,斉藤和義,まつりく,84.094,2024/11/07 15:21:30
ゲッタバンバン(アニメ Size),佐香智久,まつりく,81.238,2024/11/07 15:31:35
奏(かなで),スキマスイッチ,まつりく,86.081,2024/11/07 15:38:07
恋,back number,まつりく,90.116,2024/11/07 15:47:12
チェックのワンピース,back number,まつりく,85.179,2024/11/07 15:55:42
魔法の絨毯,川崎鷹也,まつりく,88.837,2024/11/07 16:04:20
君の為のキミノウタ,川崎鷹也,まつりく,89.286,2024/11/07 16:12:59
サクラウサギ,川崎鷹也,まつりく,86.150,2024/11/07 16:23:22
僕と僕,川崎鷹也,まつりく,87.463,2024/11/07 16:33:49
カレンダー,川崎鷹也,まつりく,81.068,2024/11/07 16:44:12
OH MY LITTLE GIRL(生音),尾崎豊,まつりく,87.176,2024/11/07 16:53:26
蕾,コブクロ,まつりく,86.822,2024/11/07 17:01:52
くだらないの中に,星野 源,まつりく,89.023,2024/11/07 17:09:19
桜,コブクロ,まつりく,90.000,2024/11/07 17:15:58
アイラブユー,back number,まつりく,88.960,2024/11/07 17:25:38
マジで感謝!(アニメオープニングVer.),T-Pistonz+KMC,まつりく,79.546,2024/11/07 17:46:40
チェリー,スピッツ,まつりく,90.820,2024/11/21 15:08:26
くだらないの中に,星野 源,まつりく,92.757,2024/11/21 15:19:44
チェックのワンピース,back number,まつりく,90.304,2024/11/21 15:30:06
Bunny Girl,AKASAKI,まつりく,88.560,2024/11/21 15:39:23
黄色,back number,まつりく,91.140,2024/11/21 15:47:25
歌うたいのバラッド,斉藤和義,まつりく,92.265,2024/11/21 15:57:16
奏(かなで),スキマスイッチ,まつりく,91.876,2024/11/21 16:07:10
恋,back number,まつりく,93.658,2024/11/21 16:16:43
魔法の絨毯,川崎鷹也,まつりく,90.076,2024/11/21 16:25:22
君の為のキミノウタ,川崎鷹也,まつりく,92.289,2024/11/21 16:34:11
サクラウサギ,川崎鷹也,まつりく,91.476,2024/11/21 16:44:05
僕と僕,川崎鷹也,まつりく,92.851,2024/11/21 16:54:09
カレンダー,川崎鷹也,まつりく,89.709,2024/11/21 17:03:37
桜,コブクロ,まつりく,94.398,2024/11/21 17:12:21
アイラブユー,back number,まつりく,91.221,2024/11/21 17:23:44
天体観測(生音),BUMP OF CHICKEN,まつりく,85.055,2024/11/21 17:35:49
わたがし,back number,まつりく,85.055,2024/11/21 17:46:12
水平線,back number,まつりく,91.199,2024/11/21 17:52:53
シングルベッド(生音),シャ乱Q,まつりく,93.637,2024/11/21 18:02:22
チェックのワンピース,back number,まつりく,89.704,2024/12/13 15:00:17
恋,back number,まつりく,93.440,2024/12/13 15:07:00
Lemon,米津玄師,まつりく,89.658,2024/12/13 15:14:31
ドライフラワー,優里,まつりく,89.886,2024/12/13 15:21:20
サクラウサギ,川崎鷹也,まつりく,90.119,2024/12/13 15:29:41
ビリミリオン,優里,まつりく,89.539,2024/12/13 15:36:11
世界に一つだけの花,SMAP,まつりく,89.705,2024/12/13 15:44:45
Monster,嵐(アラシ),まつりく,86.925,2024/12/13 15:58:39
果てない空,嵐(アラシ),まつりく,81.558,2024/12/13 16:11:53
ピースサイン,米津玄師,まつりく,88.141,2024/12/13 16:24:39
大不正解,back number,まつりく,88.017,2024/12/13 16:37:01
君に届け,flumpool,まつりく,92.453,2024/12/13 16:48:58
おかえり,Tani Yuuki,まつりく,89.556,2024/12/13 16:56:50
猫,DISH//,まつりく,89.611,2024/12/13 17:06:12
虹色の戦争,SEKAI NO OWARI(世界の終わり),まつりく,89.720,2024/12/13 17:17:26
ライラック,Mrs. GREEN APPLE,まつりく,83.047,2024/12/13 17:30:50
シングルベッド,シャ乱Q,まつりく,92.850,2024/12/13 17:37:23
桜,コブクロ,まつりく,94.434,2024/12/13 17:43:21
感情,wacci,まつりく,91.613,2024/12/13 17:50:09
別の人の彼女になったよ(生音),wacci,まつりく,88.730,2024/12/13 17:55:48
恋だろ,wacci,まつりく,90.872,2024/12/13 18:07:02
僕と僕,川崎鷹也,まつりく,92.539,2024/12/13 18:25:07
